file,cum min,TimeOfDay,Site,hydrophone,ACI,ACI_LF,log ACI_HF,log 1-Hf,log M,dir,,ACI hi,H,sqrt H,Hf,1-Hf,M,minute,TimeOrig
34,11,4,3,6,177.126255,53.35482277,2.080358392,-0.913654889,-2.252003415,10,,116.500367,0.961827828,0.980728213,0.991258688,0.008741312,0.000273466,12,3
35,16,4,3,6,177.1190087,52.97182497,2.082701962,-0.937037117,-2.278198862,10,,118.6786909,0.934971372,0.966939177,0.982636939,0.017363061,0.000332236,12,3
35,21,4,3,6,184.6318332,55.25239652,2.100199424,-0.948963486,-2.274773984,10,,116.543646,0.918499395,0.958383741,0.97440572,0.02559428,0.000340819,12,3
35,26,4,3,6,176.8843988,54.0730838,2.077875899,-0.935016877,-2.270043345,10,,118.5926671,0.884679924,0.940574252,0.949399783,0.050600217,0.000322223,12,3
36,31,4,3,6,182.4280817,55.33910806,2.092785965,-0.920485318,-2.2724119,10,,117.2967977,0.923777548,0.96113347,0.985558423,0.014441577,0.000281572,2,3
36,36,4,3,6,174.7793664,51.67709412,2.07945424,-0.946520212,-2.324724411,10,,116.95091,0.901251339,0.949342583,0.969369249,0.030630751,0.00034678,2,3
36,41,4,3,6,172.2083624,50.43825126,2.074092835,-0.927522145,-2.313871509,10,,119.9406035,0.895698007,0.946413233,0.967420589,0.032579411,0.000348568,2,3
34,1,4,3,8,178.6988964,47.41148245,2.107044967,-1.022573362,-2.206793862,10,,120.1814085,0.822804978,0.907085982,0.905262833,0.094737167,0.000380278,2,3
34,6,4,3,8,175.6676112,48.53983223,2.093197127,-0.95802079,-2.150239918,10,,118.0732603,0.920895143,0.959632817,0.97948409,0.02051591,0.000288606,7,3
34,11,4,3,8,180.93713,49.46315767,2.106638177,-1.029741749,-2.181208308,10,,118.7697263,0.872825495,0.934251302,0.952939155,0.047060845,0.000357747,7,3
35,16,4,3,8,179.8003497,50.37026172,2.101386073,-1.004317255,-2.184742978,10,,119.9186238,0.848263282,0.921012097,0.943258465,0.056741535,0.000366569,7,3
35,21,4,3,8,178.9634476,47.29900323,2.108332045,-1.044003602,-2.233121726,10,,119.9784934,0.816658837,0.903691782,0.914353853,0.085646147,0.000345826,7,3
35,26,4,3,8,179.6354667,49.80532531,2.102286223,-0.982181265,-2.194549439,10,,116.8936995,0.955249632,0.977368729,0.990586327,0.009413673,0.000270605,12,3
36,31,4,3,8,177.8509807,49.43060085,2.097314921,-0.947391875,-2.236883912,10,,116.7196064,0.910032202,0.95395608,0.973301905,0.026698095,0.000341058,12,3
